PENGHASIL DATA,IKU PEMERINTAH DAERAH,NAMA DATA,PERIODE DATA,JADWAL RILIS,SATUAN,KLASIFIKASI
Badan Kepegawaian Daerah,Indeks Implementasi Corporate University,Jumlah pejabat struktural di seluruh Perangkat Daerah,Tahunan,***,perangkat daerah,Perangkat Daerah
Badan Kepegawaian Daerah,"Nilai Kriteria Manajemen Kinerja dan Penggajian, Penghargaan, dan Disiplin","Jumlah Kebijakan Internal Instansi tentang Penegakan Disiplin, Kode Etik, dan Kode Perilaku ASN",Tahunan,Januari n+1,dokumen,Unit Kerja
Badan Kepegawaian Daerah,"Nilai Kriteria Manajemen Kinerja dan Penggajian, Penghargaan, dan Disiplin",Jumlah Kontrak Kinerja/Perjanjian Kinerja PNS,Tahunan,Januari n+1,dokumen,Nama; Jabatan; IKI; Target
Badan Kepegawaian Daerah,"Nilai Kriteria Manajemen Kinerja dan Penggajian, Penghargaan, dan Disiplin",Jumlah PNS yang Melakukan Dialog Kinerja melalui Aplikasi TRK,Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,"Nilai Kriteria Manajemen Kinerja dan Penggajian, Penghargaan, dan Disiplin",Jumlah PNS yang Mendapatkan Pembayaran Tunjangan Kinerja Berdasarkan Hasil Penilaian Kinerja,Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,"Nilai Kriteria Manajemen Kinerja dan Penggajian, Penghargaan, dan Disiplin",Jumlah PNS yang Mendapatkan Penghargaan,Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Kriteria Pengembangan Karier,"Jumlah PNS yang Mengikuti Pengembangan Kompetensi Jabatan (Manajerial, Teknis, dan Sosial Kultural)",Tahunan,Januari n+1,orang,Jenis Kompetensi Jabatan
Badan Kepegawaian Daerah,Nilai Kriteria Pengembangan Karier,Jumlah Profil PNS yang Disusun Berdasarkan Talenta/Kompetensi,Tahunan,Januari n+1,profil,Kualifikasi dan Kompetensi
Badan Kepegawaian Daerah,Nilai Kriteria Perencanaan Kebutuhan; Pengadaan; Perlindungan dan Pelayanan; dan Sistem Informasi Kepegawaian,Jumlah ASN yang Direkrut per Tahun,Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Kriteria Perencanaan Kebutuhan; Pengadaan; Perlindungan dan Pelayanan; dan Sistem Informasi Kepegawaian,Jumlah ASN yang mendapatkan Perlindungan Hukum dan Pelayanan Kepegawaian,Tahunan,Januari n+1,orang,Jabatan; Pangkat; Unit Kerja; Kualifikasi dan Kompetensi
Badan Kepegawaian Daerah,Nilai Kriteria Perencanaan Kebutuhan; Pengadaan; Perlindungan dan Pelayanan; dan Sistem Informasi Kepegawaian,Jumlah ASN yang Menggunakan E-Office (Aplikasi Manajemen Kepegawaian),Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Kriteria Perencanaan Kebutuhan; Pengadaan; Perlindungan dan Pelayanan; dan Sistem Informasi Kepegawaian,Jumlah CPNS yang Diangkat Menjadi PNS,Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Kriteria Perencanaan Kebutuhan; Pengadaan; Perlindungan dan Pelayanan; dan Sistem Informasi Kepegawaian,Jumlah CPNS yang Mendapatkan Pelatihan Dasar (Latsar),Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Kriteria Perencanaan Kebutuhan; Pengadaan; Perlindungan dan Pelayanan; dan Sistem Informasi Kepegawaian,Jumlah Kebutuhan Pegawai untuk Jangka Menengah (5 Tahun) yang sudah Ditetapkan Pejabat Pembina Kepegawaian,Tahunan,Januari n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Kriteria Perencanaan Kebutuhan; Pengadaan; Perlindungan dan Pelayanan; dan Sistem Informasi Kepegawaian,Jumlah PNS yang Akan Memasuki Masa Pensiun dalam 5 Tahun,Tahunan,Januari n+1,orang,Jabatan; Pangkat; Unit Kerja; Kualifikasi dan Kompetensi
Badan Kepegawaian Daerah,Nilai Kriteria Promosi dan Mutasi,"Jumlah Pengisian Jabatan Pimpinan Tinggi (JPT), Jabatan Administrator, dan Jabatan Pengawas secara Terbuka dan Kompetitif",Tahunan,Januari n+1,orang,Jabatan; Pangkat; Unit Kerja; Kualifikasi dan Kompetensi
Badan Kepegawaian Daerah,Nilai Kriteria Promosi dan Mutasi,Jumlah PNS yang Mengikuti Akuisisi Talenta ke Pemerintah Provinsi Jawa Barat,Tahunan,Januari n+1,orang,Jabatan; Pangkat; Unit Kerja; Kualifikasi dan Kompetensi
Badan Kepegawaian Daerah,Nilai Profesionalitas ASN Dimensi Disiplin,Jumlah ASN yang Mendapatkan Penjatuhan Hukuman Disiplin (Ringan/Sedang/Berat),Tahunan,April n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Profesionalitas ASN Dimensi Kinerja,Jumlah ASN berdasarkan Predikat Kinerja per Tahun,Tahunan,April n+1,orang,Unit Kerja
Badan Kepegawaian Daerah,Nilai Profesionalitas ASN Dimensi Kualifikasi,Jumlah ASN berdasarkan Tingkat Pendidikan,Tahunan,April n+1,orang,Unit Kerja
